Place_id,Ciclo,idRegistroEncuesta,idEstablecimiento,NombreEstablecimiento,Direccion,FotoStickerFemsa,Imagen,CodifoclienteKof_Mex,Tiene match?,IdEstablecimeinto Matcheado,
e6a76b04bf2491c7b29d07abd4ff7af8,623,6865944,980606,mivelanea la escondida,ZUMPANGO.46.1.1.,https://shortextraction.grupomeiko.io/20230630/626_3638371_FotoStickerFemsa.jpg,,No aplica,No aplica,No aplica,NO aplica
1398082a5e7548eeeecd1f2353aadce8,623,6865940,980602,Abarrotes Rosales Rojas,ZUMPANGO.46.1.1.,https://shortextraction.grupomeiko.io/20230630/626_3638367_FotoStickerFemsa.jpg,,No aplica,No aplica,No aplica,NO aplica
3ff1065da3fdd1b2cd827e2727b2f3ef,623,6865833,980598,antobitog msry y meme,NEZAHUALCOYOTL.1.4.3.B,https://shortextraction.grupomeiko.io/20230630/626_3638345_FotoStickerFemsa.jpg,,No aplica,No aplica,No aplica,NO aplica
ba2559ced84fb382e31cd189d03c495c,623,6865832,980597,alitad y beear,NEZAHUALCOYOTL.1.4.3.A,https://shortextraction.grupomeiko.io/20230630/626_3638337_FotoStickerFemsa.jpg,,No aplica,No aplica,No aplica,NO aplica
6db38c59aa36597f98125afc76cbf822,subido,6865829,928076,el progreso,CHIMALHUACAN.1.3.6.A,https://shortextraction.grupomeiko.io/20230630/626_3638332_FotoStickerFemsa.jpg,,105311121,"SI , idestablecimiento Diferente",759394,ajustar
0666eda16b85f7c055b904d5643e5026,subido,6865826,802235,casa mario,CHIMALHUACAN.1.3.6.A,https://shortextraction.grupomeiko.io/20230630/626_3638329_FotoStickerFemsa.jpg,,105304842,"SI , idestablecimiento Diferente",759393,ajustar
9a28849046bf0daad6595549674e8424,subido,6865822,892477,san andres,CHIMALHUACAN.1.3.6.A,https://shortextraction.grupomeiko.io/20230630/626_3638325_FotoStickerFemsa.jpg,,110075577,"SI , idestablecimiento Diferente",801085,ajustar
5cf82f7faa19fa849e051321fc2fa60f,623,6865819,980595,taqueria,NEZAHUALCOYOTL.1.4.3.A,https://shortextraction.grupomeiko.io/20230630/626_3638317_FotoStickerFemsa.jpg,,No aplica,No aplica,No aplica,NO aplica
1e87f522993e9a9f990a9a8b334c07cc,623,6865702,979421,antojitos,NEZAHUALCOYOTL.1.4.3.A,https://shortextraction.grupomeiko.io/20230630/626_3638258_FotoStickerFemsa.jpg,,No aplica,No aplica,No aplica,NO aplica
69c7cfd7884cc0b3ad2e802abab6cc1e,623,6865701,979420,abarrotes,NEZAHUALCOYOTL.1.4.3.A,https://shortextraction.grupomeiko.io/20230630/626_3638245_FotoStickerFemsa.jpg,,No aplica,No aplica,No aplica,NO aplica
